,GUID,English,Greek,Part of Speach,Gender,Tag,Sub Tag 1,Sub Tag 2
301,7dN5qvff8F,bike,ποδήλατο,noun,neuter,transport,,
302,uHUp73fDEL,"awful, terrible, foul",απαίσιος,adjective,,,,
303,t`|[wxt}/~,brave,γενναίος,adjective,,,,
304,o3;6I~YH/z,crazy,τρελός,adjective,,,,
305,MVT6dnL!ga,friendly,φιλικούς,adjective,,,,
306,l>&Fa~4gaO,funny,αστείος,adjective,,,,
307,F|Ea+x_6!D,independent,ανεξάρτητος,adjective,,,,
308,dSU}.(+Y6|,negative,αρνητικός,adjective,,,,
309,v/;-sdXb3N,positive,θετικός,adjective,,,,
310,hm=kPD{$R4,possible,πιθανός,adjective,,,,
311,MfFWU+E&#(,quiet,ήσυχος,adjective,,,,
312,l$l7t5eig?,"selfish, egoist",εγωιστής,adjective,,,,
313,hOmutoMic&,"serious, important, severe",σοβαρός,adjective,,,,
314,b@BwY@vsAw,"silly, stupid",ανόητος,adjective,,,,
315,JuQV~0]JI{,strange,παράξενος,adjective,,,,
316,y`lq=qbPGX,unlikable,αντιπαθητικός,adjective,,,,
317,n>VHih={YG,while,ενώ,conjunction,,,,
318,cqwKMJdY49,inside,μέσα,adverb,,,,
319,Eg]}g(hx:7,age,ηλικία,noun,feminine,,,
320,xpL!^dU5WW,bell,καμπάνα,noun,feminine,,,
321,r%Fv:X$5N+,chain,αλυσίδα,noun,feminine,,,
322,pse%cY?+r-,key,κλειδί,noun,neuter,,,
323,H|LmH%YEZQ,letter,γράμμα,noun,neuter,,,
324,"n,6-l}tcbi",moneybox/piggy bank,κουμπαράς,noun,masculine,,,
325,p6+ydI]{YU,object,αντικείμενο,noun,neuter,,,
326,lM6o7UDX@o,thing,πράγμα,noun,neuter,,,
327,O]9YE8=Ke:,umbrella,ομπρέλα,noun,feminine,,,
328,sc5agSwCj<,wallet,πορτοφόλι,noun,neuter,,,
329,A$_UZPs;Yl,weather,καιρός,noun,masculine,,,
330,dc;ojdr5}7,wheel,ρόδα,noun,feminine,,,
331,"zYm-%>Oi,n",until,μέχρι,preposition,,,,
332,DeMLYbmKRP,before,πριν,adverb,,,,
333,V674KsgZFq,after (later than),μετά,adverb,,,,
334,MMTZCkpJZD,brick,τούβλο,noun,neuter,,,
