,guid,english,greek,n_s,n_p,a_s,a_p,g_s,g_p,gender,tag,sub tag 1,sub tag 2
257,n-72P:2%_|,sleeve,μανίκι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
258,H/^hoRU@$y,slipper,παντόφλα,α,ες,α,ες,ας,-,feminine,clothing,,
259,"w,DjKQ&VG5",sneaker (athletic shoe),αθλητικά παπούτσι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
260,ztA@3](r?Q,soap,σαπούνι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bathroom
261,j]S{*(2JC8,sock,κάλτσα,α,ες,α,ες,ας,ών,feminine,clothing,,
262,"mb,K@[<Vhs",son,γιός,ός,οί,ό,ούς,ού,ών,masculine,person,,
263,EC)D)bj&r0,spatula,σπάτουλα,α,ες,α,ες,ας,ών,feminine,home,area,kitchen
264,IrUK9VTUXE,spinach ,σπανάκι,ι,ια,ι,ια,ιού,ιών,neuter,food,vegetables,
265,l!a7)G;HD#,sponge,σφουγγάρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bathroom
266,j}_r*B{VBS,spoon,κουτάλι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,kitchen
267,"glfe_ml@2,",spouse,σύζυγος,ος,οι,ο,ους,ου,ων,masculine,person,,
268,hrHQuXgwse,stocking/tights,καλτσόν,-,-,-,-,-,-,neuter,clothing,,
269,m8lMG+;oQa,stomach,κοιλιά,ά,ές,ά,ές,άς,ών,feminine,body,,
270,tDRDEtbB^#,straw (drinking),καλαμάκι,ι,ια,ι,ια,-,-,neuter,drink,,
271,cJAU7GNkap,strawberry ,φράουλα,α,ες,α,ες,ας,ών,feminine,food,fruit,
272,vO~ZGsB3!D,student (f),μαθήτρια,α,ες,α,ες,ας,ών,feminine,person,,
273,EKIvgyN@ts,student (m),μαθητής,ής,ές,ή,ές,ού,ών,masculine,person,,
