,guid,english,greek,n_s,n_p,a_s,a_p,g_s,g_p,gender,tag,sub tag 1,sub tag 2
140,Nns?(@|>Dz,grandfather,παππούς,ύς,ύδες,ύ,ύδες,ύ,ύδων,masculine,person,,
141,QbN_gN5%Y1,grandmother,γιαγιά,ά,ές,ά,ές,άς,άδων,feminine,person,,
142,zf)(vn~H=d,grandson,εγγονός,ός,οί,ό,ούς,ού,ών,masculine,person,,
143,TRvthID1CQ,grape,σταφύλι,ι,ια,ι,ια,ιού,ιών,neuter,food,fruit,
144,"lY,^[Nz9xg","gum, rubber",γόμα,α,ες,α,ες,ας,ών,feminine,school,,
145,h!c[fFCUE^,hair (single stran),μαλλί,ί,ιά,ί,ιά,ιού,ών,neuter,body,,
146,vacjJGFXPt,hallway ,διάδρομος,ος,οι,ο,ους,ου,ων,masculine,home,area,
147,iHCJ&uCw*J,hand/arm,χέρι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
148,kMEE?NH2*^,hat,καπέλο,ο,α,ο,α,ου,ων,neuter,clothing,,
149,N=GM2~4Sp/,head,κεφάλι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
150,u*z@jxeTpg,heavy jacket,μπουφάν,-,-,-,-,-,-,neuter,clothing,,
151,JLbN:1;*LG,heel (foot),φτέρνα,α,ες,α,ες,ας,ών,feminine,body,,
152,cDzk#U4>_V,heel (shoe),τακούνι,ι,ια,ι,ια,ιού,ιών,neuter,clothing,,
153,FFZShXfRlJ,hill,λόφος,ος,οι,ο,ους,ου,ων,masculine,nature,,
154,fr(EW-:Un:,horse,άλογο,ο,α,ο,α,ου,ων,neuter,animal,,
155,Flf9Kp6ftW,hotel,ξενοδοχείο,ο,α,ο,α,ου,ων,neuter,city,buildings,
156,N3ToOG4u)P,jacket,ζακέτα,α,ες,α,ες,ας,ών,feminine,clothing,,
157,u{uL<9C4YQ,January,Ιανουάριος,ος,οι,ο,ους,ου,ων,masculine,time,months,
158,d%}*:2fm9`,July,Ιούλιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
159,Re6|!dp]^5,June,Ιούνιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
160,pse%cY?+r-,key,κλειδί,ί,ιά,ί,ιά,ιού,ιών,neuter,,,
161,oWowAdvDXg,kitchen,κουζίνα,α,ες,α,ες,ας,ών,feminine,home,area,
162,JWKAcM55px,kiwi ,ακτινίδιο,ο,α,ο,α,ου,ων,neuter,food,fruit,
163,k:)4Eh6-_,knee,γόνατο,ο,α,ο,α,ου,ων,neuter,body,,
164,s0<}2Of7;,knife,μαχαίρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,kitchen
165,PiIP<a{&+V,lamp,λάμπα,α,ες,α,ες,ας,ών,feminine,home,area,bedroom
166,C%`jZRI@}Z,leg/foot,πόδι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
167,H|LmH%YEZQ,letter,γράμμα,α,ατα,α,ατα,ατος,άτων,neuter,,,
168,GYxBYErz7r,lettuce ,μαρούλι,ι,ια,ι,ια,ιού,ιών,neuter,food,vegetables,
169,vKc}&AQloH,lip,χείλι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
170,m5u78eRosy,living room ,καθιστικό,ό,ά,ό,ά,ού,ών,neuter,home,area,
171,qp4Sn48IOE,lunch,μεσημεριανό,ό,ά,ό,ά,ού,ών,neuter,food,,
172,NP.35^:Uqs,man,άντρας,ας,ες,α,ες,α,ών,masculine,person,,
173,RqpWoQfHmV,mango,μάνγκο,ο,α,ο,α,ου,ων,neuter,food,fruit,
174,Om`>yFlHO^,March,Μάρτιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
175,"m0o{8,@uG>",marker,μαρκαδόρος,ος,οι,ο,ους,ου,ων,masculine,school,,
176,D`NcO{`I/y,mattress,στρώμα,α,ατα,α,ατα,ατος,άτων,neuter,home,area,bedroom
177,y)(om&#^vp,May,Μάιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
178,pRNJ^{&kq_,measuring cup,δοσομετρητής,ής,ές,ή,ές,ή,ών,masculine,home,area,kitchen
179,x/TbOJv1L|,meat,κρέας,ς,τα,ς,τα,τος,των,masculine,food,,
180,D5niDXDDm7,mind,μυαλό,ό,ά,ό,ά,ού,ών,neuter,body,,
181,ksY33tZbQ~,mirror,καθρέφτης,ης,ες,η,ες,η,ών,masculine,home,area,bedroom
182,Q+fKP0`=`1,Miss,δεσποινίς,ς,δες,δα,δες,δος,δων,masculine,person,,
183,u(0.sSjcR=,mom,μαμά,ά,άδες,ά,άδες,άς,άδων,feminine,person,,
184,iNa#dKo]-Z,monday,δευτέρα,α,ες,α,ες,ας,ών,feminine,time,days,
185,"n,6-l}tcbi",moneybox/piggy bank,κουμπαράς,άς,άδες,ά,άδες,ά,άδων,masculine,,,
186,yejfkEs0Ev,morning,πρωί,ί,ινά,ί,ινά,ινού,ινών,neuter,time,day,
187,i$:4MlI/ou,mother,μητέρα,α,ες,α,ες,ας,ων,feminine,person,,
188,y1f]h}2PkC,mother-in-law,πεθερά,ά,ές,ά,ές,άς,ών,feminine,person,,
189,.G2pqAlh!,mouse,ποντίκι,ι,ια,ι,ια,ιού,ιών,neuter,animal,,
190,qEZ%~p<4+m,mouth,στόμα,α,ατα,α,ατα,ατος,άτων,neuter,body,,
191,FX?GxqXfRM,Mr,κύριος,ος,οι,ον,ους,ου,ων,masculine,person,,
192,P7}fAQ/m<X,Mrs,κύρια,α,ες,α,ες,ας,ών,feminine,person,,
193,srqv%ZU.Nt,nail,νύχι,ι,ια,ι,ια,ιού,ιών,neuter,body,,
194,L?BPP}ARoc,neck,λαιμός,ός,οί,ό,ούς,ού,ών,masculine,body,,
195,D]E!l1{}Fo,nephew,ανιψιός,ός,οί,ό,ούς,ού,ών,masculine,person,,
